"Qubit,""T1 (us)"",""T2 (us)"",""Readout assignment error"",""Prob meas0 prep1"",""Prob meas1 prep0"",""Readout length (ns)"",""ID error"",""Single-qubit gate length (ns)"",""RX error"",""Z-axis rotation (rz) error"",""√x (sx) error"",""Pauli-X error"",""XSLOW error"",""CZ error"",""Gate length (ns)"",""RZZ error"",""MEASURE error"",""MEASURE_2 error"",""Operational""";;;;;;
"11,""235.51228843295448"",""96.03091438417412"",""0.0081787109375"",""0.00634765625"",""0.010009765625"",""2280"",""0.0003619716674913603"",""32"",""0.0003619716674913603"",""0"",""0.0003619716674913603"",""0.0003619716674913603"",""0.0003619716674913603"",""18:0.001899701667151199";10:0.0014762423952038028;"12:0.001440466986563027"",""18:68";0,463888889;"12:68"",""18:0.0016718850193341572";10:0.00134399333436247;"12:0.0013298867868239694"",""0.0081787109375"",""0.005859375"",""Yes"""
"12,""181.81525083096588"",""182.55170880541377"",""0.0322265625"",""0.047119140625"",""0.017333984375"",""2280"",""0.0003279591272371791"",""32"",""0.0003279591272371791"",""0"",""0.0003279591272371791"",""0.0003279591272371791"",""0.0003279591272371791"",""13:0.0028028335673511984";"11:0.001440466986563027"",""13:68";"11:68"",""13:0.002334609445880348";"11:0.0013298867868239694"",""0.0322265625"",""0.028076171875"",""Yes""";;;
"13,""223.85383801421114"",""247.54562681279356"",""0.013427734375"",""0.015625"",""0.01123046875"",""2280"",""0.00033948546415386345"",""32"",""0.00033948546415386345"",""0"",""0.00033948546415386345"",""0.00033948546415386345"",""0.00033948546415386345"",""12:0.0028028335673511984";"14:0.0012516486745622335"",""12:68";"14:68"",""12:0.002334609445880348";"14:0.0011138214299063753"",""0.013427734375"",""0.0126953125"",""Yes""";;;
"14,""192.26234274820882"",""240.07055560789988"",""0.031005859375"",""0.0498046875"",""0.01220703125"",""2280"",""0.00023032027330362762"",""32"",""0.00023032027330362762"",""0"",""0.00023032027330362762"",""0.00023032027330362762"",""0.00023032027330362762"",""15:0.0028682516459165586";"13:0.0012516486745622335"",""15:68";"13:68"",""15:0.0016283575295649444";"13:0.0011138214299063753"",""0.031005859375"",""0.01220703125"",""Yes""";;;
"15,""181.76887430801187"",""177.50366687286058"",""0.0126953125"",""0.013427734375"",""0.011962890625"",""2280"",""0.00015930939480773273"",""32"",""0.00015930939480773273"",""0"",""0.00015930939480773273"",""0.00015930939480773273"",""0.00015930939480773273"",""14:0.0028682516459165586";"19:0.0017298385409314776"",""14:68";"19:68"",""14:0.0016283575295649444";"19:0.00208215065826578"",""0.0126953125"",""0.03369140625"",""Yes""";;;
"16,""210.8449255666837"",""204.46728841098636"",""0.0428466796875"",""0.048095703125"",""0.03759765625"",""2280"",""0.00017751256024962653"",""32"",""0.00017751256024962653"",""0"",""0.00017751256024962653"",""0.00017751256024962653"",""0.00017751256024962653"",""23:0.001279847383370225";"3:0.0017042759166596422"",""23:68";"3:68"",""23:0.0012916474607389539";"3:0.0016056262837878532"",""0.0428466796875"",""0.056884765625"",""Yes""";;;
"17,""164.03667094246683"",""71.02055882758143"",""0.01220703125"",""0.021484375"",""0.0029296875"",""2280"",""0.0003207815510336542"",""32"",""0.0003207815510336542"",""0"",""0.0003207815510336542"",""0.0003207815510336542"",""0.0003207815510336542"",""7:0.009136552080831334";"27:0.002466157731992019"",""7:68";"27:68"",""7:0.007492111792692824";"27:0.002778977890695117"",""0.01220703125"",""0.014404296875"",""Yes""";;;
"18,""100.8164829841"",""82.02085453083833"",""0.0169677734375"",""0.02392578125"",""0.010009765625"",""2280"",""0.00039392106670010403"",""32"",""0.00039392106670010403"",""0"",""0.00039392106670010403"",""0.00039392106670010403"",""0.00039392106670010403"",""11:0.001899701667151199";"31:0.00296785067556421"",""11:68";"31:68"",""11:0.0016718850193341572";"31:0.0020033243548507607"",""0.0169677734375"",""0.034912109375"",""Yes""";;;
"19,""178.94264107043182"",""151.02568130445536"",""0.0111083984375"",""0.013671875"",""0.008544921875"",""2280"",""0.00039254080842950995"",""32"",""0.00039254080842950995"",""0"",""0.00039254080842950995"",""0.00039254080842950995"",""0.00039254080842950995"",""35:0.0013492879404421176";"15:0.0017298385409314776"",""35:68";"15:68"",""35:0.0013796261912027985";"15:0.00208215065826578"",""0.0111083984375"",""0.00830078125"",""Yes""";;;
"20,""172.07473093171785"",""20.23907597919612"",""0.01025390625"",""0.013916015625"",""0.006591796875"",""2280"",""0.0004692513806019807"",""32"",""0.0004692513806019807"",""0"",""0.0004692513806019807"",""0.0004692513806019807"",""0.0004692513806019807"",""21:0.001808260039031312"",""21:68"",""21:0.0016567116599500442"",""0.01025390625"",""0.015869140625"",""Yes""";;;;;;
